[admin.py:29] - 2026-06-27 13:20:55,994 - INFO - isUserAdmin - CheckTokenMembership returned: True
[Image.py:421] - 2026-06-27 13:20:56,076 - DEBUG - Importing PngImagePlugin
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,171 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,171 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,171 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,171 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,171 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,171 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,171 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:20:56,172 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2026-06-27 13:20:59,499 - INFO - isUserAdmin - CheckTokenMembership returned: True
[Image.py:421] - 2026-06-27 13:20:59,581 - DEBUG - Importing PngImagePlugin
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,601 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,601 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,601 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,601 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,601 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,601 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,601 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:20:59,602 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2026-06-27 13:22:15,435 - INFO - isUserAdmin - CheckTokenMembership returned: True
[Image.py:421] - 2026-06-27 13:22:15,517 - DEBUG - Importing PngImagePlugin
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,537 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,538 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,538 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,538 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,538 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,538 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,538 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:22:15,538 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2026-06-27 13:24:14,891 - INFO - isUserAdmin - CheckTokenMembership returned: True
[Image.py:421] - 2026-06-27 13:24:14,976 - DEBUG - Importing PngImagePlugin
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,996 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,996 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,996 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,996 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,996 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,996 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:204] - 2026-06-27 13:24:14,997 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2026-06-27 13:30:21,869 - INFO - isUserAdmin - CheckTokenMembership returned: True
[Image.py:421] - 2026-06-27 13:30:21,944 - DEBUG - Importing PngImagePlugin
[PngImagePlugin.py:204] - 2026-06-27 13:30:21,963 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:204] - 2026-06-27 13:30:21,963 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:204] - 2026-06-27 13:30:21,963 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:204] - 2026-06-27 13:30:21,963 - DEBUG - STREAM b'pHYs' 70 9
